Job Title,Company name,Location,Salary(INR),Rating,Revenue(Million USD),Company type
Data Analyst,Accenture,Mumbai,,4.1,10000,Public
Data Analyst,Eclerx,Mumbai,268775,3.6,300,Public
Data Analyst,TTEC,Mumbai,276912,3.5,3500,Public
Data Analyst,Kroll,Mumbai,795089,3.7,3500,Private
Data Analyst,Mio Design Pvt. Ltd,Mumbai,7200000,,,
Data Analyst,Enel,Mumbai,289116,4,10000,Private
Data Analyst,Deutsche Bank,Mumbai,494475,4,10000,Public
Data Analyst,Dentsu Aegis Network,Mumbai,336787,3.6,,Public
Data Analyst,Kinesso,Mumbai,741669,4.1,,Public
Data Analyst,KPMG,Mumbai,865524,4,10000,Private
Data Analyst,WTW,Mumbai,,3.9,10000,Public
Data Analyst,The Gene Box,Mumbai,424330,4.2,,Private
Data Analyst,Adfactors PR,Mumbai,587033,4,3500,Private
Data Analyst,Mastercard,Mumbai,189737,4.3,7500,Public
Data Analyst,Accenture,Mumbai,,4.1,10000,Public
Data Analyst,Etraveli Group,Mumbai,469042,3.8,,Private
Data Analyst,Chemical Process Equipments Pvt.ltd,Mumbai,900000,,,
Data Analyst,Accenture,Mumbai,,4.1,10000,Public
Data Analyst,Capgemini,Mumbai,368735,4,10000,Public
Data Analyst,Accenture,Mumbai,,4.1,10000,Public
Data Analyst,JPMorgan Chase Bank N.A.,Mumbai,684366,4,10000,Public
Data Analyst,MNR Solutions Private Limited,Mumbai,750000,4.2,,Private
Data Analyst,Sharad Mishra & Associates,Mumbai,324962,,,Private
Data Analyst,Accenture,Mumbai,,4.1,10000,Public
Data Analyst,Eclerx,Mumbai,,3.6,300,Public
Data Analyst,Srini Pharmaceuticals Ltd,Mumbai,393480,,,
Data Analyst,Khel Group Pvt Ltd,Mumbai,623408,4.3,,Private
Data Analyst,Eway IT Solutions,Mumbai,1100000,5,,Private
Data Analyst,Tata Indian Institute of Skills,Mumbai,1000000,,,
Data Analyst,Techfin,Mumbai,400000,,,
Data Analyst,Colgate-Palmolive,Mumbai,380789,4.2,10000,Public
Data Analyst,Job Booster Social India,Mumbai,630000,5,,Public
Data Analyst,WTW,Mumbai,,3.9,10000,Public
Data Analyst,Fuel Intelligence,Mumbai,341345,3,,Private
Data Analyst,Traya Health,Mumbai,900000,,,
Data Analyst,Nextyn Advisory,Mumbai,400000,,,
Data Analyst,DBS Bank,Mumbai,119807,4,7500,Public
Data Analyst,YouGov,Mumbai,574952,3.8,300,Public
Data Analyst,Accenture,Mumbai,,4.1,10000,Public
Data Analyst,JPMorgan Chase Bank N.A.,Mumbai,539583,4,10000,Public
Data Analyst,Dentsu Aegis Network,Mumbai,336787,3.6,,Public
Data Analyst,Argus Media,Mumbai,678884,3.9,300,Private
Data Analyst,Kenvue,Mumbai,415692,3.7,,Public
Data Analyst,Balance Nutrition,Mumbai,390000,3.6,,Private
Data Analyst,Deutsche Bank,Mumbai,494475,4,10000,Public
Data Analyst,KPMG,Mumbai,865524,4,10000,Private
Data Analyst,Eclerx,Mumbai,,3.6,300,Public
Data Analyst,ExpertSource Global Services Pvt. Ltd.,Mumbai,630000,,,
Data Analyst,Ubiquiti Inc.,Mumbai,300000,3,1,Private
Data Analyst,Navneet Top Tech,Mumbai,550000,,,
Data Analyst,Kroll,Mumbai,795089,3.7,3500,Private
Data Analyst,WRI India,Mumbai,300000,3.5,300,
Data Analyst,TTEC,Mumbai,276912,3.5,3500,Public
Data Analyst,Accenture,Mumbai,,4.1,10000,Public
Data Analyst,JPMorgan Chase Bank N.A.,Mumbai,632008,4,10000,Public
Data Analyst,Mirum Digital Pvt. Ltd.,Mumbai,424264,4,,Private
Data Analyst,Eclerx,Mumbai,,3.6,300,Public
Data Analyst,Enel,Mumbai,289116,4,10000,Private
Data Analyst,WRI India,Mumbai,300000,3.5,300,
Data Analyst,Dow Jones,New Delhi,887115,3.9,750,
Data Analyst,Elegant Auto Retail,Noida,,5,,Private
Data Analyst,SSPL,New Delhi,,3.9,,Private
Data Analyst,Gretis India Pvt Ltd,New Delhi,450000,4.5,,Private
Data Analyst,FELIX HOSPITAL,Noida,660000,,,
Data Analyst,Simply logistics pvt ltd,New Delhi,240984,,,Public
Data Analyst,KPMG,Gurgaon,763967,4,10000,Private
Data Analyst,eminenture,New Delhi,687301,3.8,3,Private
Data Analyst,Airtel India,Gurgaon,424264,4.2,10000,Public
Data Analyst,Let's-Viz Technologies,New Delhi,180000,,,
Data Analyst,Future Technosoft,New Delhi,550000,,,
Data Analyst,Refract Consulting,Gurgaon,402387,4.2,15,Private
Data Analyst,NAB Innovation Centre India (NICI),Gurgaon,,,,
Data Analyst,Barclays,New Delhi,760063,4,10000,Public
Data Analyst,Futures First,Gurgaon,,4.2,,Private
Data Analyst,OPK eServices,Gurgaon,,3.6,,Private
Data Analyst,ioTech Designs,Noida,,3.8,,Private
Data Analyst,S&P Global,Noida,670891,4.1,7500,Public
Data Analyst,Accenture,Gurgaon,,4.1,10000,Public
Data Analyst,PayU,Gurgaon,536105,3.9,10000,Private
Data Analyst,91Squarefeet,Gurgaon,900000,3,,Private
Data Analyst,MakkPress Technologies,New Delhi,450000,4.1,,Private
Data Analyst,Core Minds Tech Solutions,New Delhi,300000,,,Public
Data Analyst,Megara Infotech,Gurgaon,,,,
Data Analyst,FundTQ,Gurgaon,330000,,,
Data Analyst,St. Andrews Institute of Technology & Management,Noida,,4,,Private
Data Analyst,ArchsystemInc,New Delhi,1078713,3.8,15,Private
Data Analyst,ACCESS,New Delhi,1350000,4,,Public
Data Analyst,Magic Infomedia,New Delhi,486666,,,Private
Data Analyst,ASI-Apex Sourcing,New Delhi,486666,5,,Private
Data Analyst,RxLogix,Noida,741156,3.2,1,Private
Data Analyst,Expedite Impex Pvt. Ltd,Noida,425000,,,
Data Analyst,L.E.K. Consulting,New Delhi,172666,4.1,,
Data Analyst,Dentsu Aegis Network,Gurgaon,,3.6,,Public
Data Analyst,Market Ninety Nine Pvt. Ltd,New Delhi,600000,,,
